name,exchange,root_ticker,GoogleFin_ticker
Global Gardens Group Inc. ,Canadian Securities Exchange,VGM,CNSX:VGM
Global Hemp Group Inc. ,Canadian Securities Exchange,GHG,CNSX:GHG
Global Remote Technologies Ltd. ,Canadian Securities Exchange,RGT,CNSX:RGT
God's Lake Resources Inc.,Canadian Securities Exchange,GLR,CNSX:GLR
Golden Leaf Holdings Ltd. ,Canadian Securities Exchange,GLH,CNSX:GLH
Goldrea Resources Corp. ,Canadian Securities Exchange,GOR,CNSX:GOR
GoldTrain Resources Inc.,Canadian Securities Exchange,GT,CNSX:GT
Grand Peak Capital Corp,Canadian Securities Exchange,GPK,CNSX:GPK
Gravis Energy Corp. ,Canadian Securities Exchange,GVE,CNSX:GVE
Gravitas Financial Inc. ,Canadian Securities Exchange,GFI,CNSX:GFI
GreenBank Capital Inc. ,Canadian Securities Exchange,GBC,CNSX:GBC
Greywacke Exploration Ltd. ,Canadian Securities Exchange,GWL,CNSX:GWL
GrowPros Cannabis Ventures Inc.,Canadian Securities Exchange,GCI,CNSX:GCI
H-Source Holdings Ltd. ,Canadian Securities Exchange,HSI,CNSX:HSI
Hadley Mining Inc.,Canadian Securities Exchange,HM,CNSX:HM
Hatch Interactive Technologies Corp.,Canadian Securities Exchange,HAT,CNSX:HAT
HealthSpace Data Systems Ltd.  ,Canadian Securities Exchange,HS,CNSX:HS
Helius Medical Technologies Inc. ,Canadian Securities Exchange,HSM,CNSX:HSM
High Hampton Holdings Corp.,Canadian Securities Exchange,HC,CNSX:HC
Heritage Global Inc.,Canadian Securities Exchange,HGP,CNSX:HGP
HiHo Silver Resources Inc.,Canadian Securities Exchange,HHS,CNSX:HHS
HLD Land Development Limited Partnership,Canadian Securities Exchange,HLD.UN,CNSX:HLD.UN
"ICTV Brands, Inc.",Canadian Securities Exchange,ITV,CNSX:ITV
IGEN Networks Corp.,Canadian Securities Exchange,IGN,CNSX:IGN
Imagin Medical Inc.,Canadian Securities Exchange,IME,CNSX:IME
Immunall Science Inc.,Canadian Securities Exchange,GNS,CNSX:GNS
InMed Pharmaceuticals Inc.,Canadian Securities Exchange,IN,CNSX:IN
Innovative Properties Inc. ,Canadian Securities Exchange,INR,CNSX:INR
Inspiration Mining Corporation ,Canadian Securities Exchange,ISM,CNSX:ISM
International Wastewater Systems Inc.,Canadian Securities Exchange,IWS,CNSX:IWS
Invictus MD Strategies Corp. ,Canadian Securities Exchange,IMH,CNSX:IMH
Imagination Park Entertainment Inc.,Canadian Securities Exchange,IP,CNSX:IP
Irving Resources Inc. ,Canadian Securities Exchange,IRV,CNSX:IRV
